token1,similarity,token2
teddy_bear,0,hamburger
teddy_bear,0,airplane
teddy_bear,0,chicken
teddy_bear,0,tv
teddy_bear,0,brain
teddy_bear,0,pear
teddy_bear,0,pig
teddy_bear,0,backpack
teddy_bear,0,jellyfish
teddy_bear,0,piano
teddy_bear,0,telephone
teddy_bear,0,bicycle
teddy_bear,0,keyboard
teddy_bear,0,lizard
teddy_bear,0,laptop
teddy_bear,0,hammer
teddy_bear,0,squirrel
teddy_bear,0,duck
teddy_bear,0,couch
teddy_bear,0,satellite_dish
teddy_bear,0,crocodilian
teddy_bear,0,bush
teddy_bear,0,pickup_truck
teddy_bear,0,racket
teddy_bear,0,horse
teddy_bear,0,house
teddy_bear,0,moon
teddy_bear,0,computer_mouse
teddy_bear,0,tomato
teddy_bear,0,bread
teddy_bear,0,carrot
teddy_bear,0,helicopter
teddy_bear,0,deer
teddy_bear,0,lion
teddy_bear,0,axe
teddy_bear,0,scorpion
teddy_bear,0,pineapple
teddy_bear,0,hot_air_balloon
teddy_bear,0,snake
teddy_bear,0,microphone
teddy_bear,0,strawberry
teddy_bear,0,saxophone
teddy_bear,0,hermit_crab
kangaroo,0,sedan
kangaroo,3,dragon
kangaroo,4,rhinoceros
kangaroo,1,sun
kangaroo,3,butterfly
kangaroo,0,teddy_bear
kangaroo,10,kangaroo
kangaroo,2,seal
kangaroo,4,zebra
kangaroo,1,spoon
kangaroo,0,sea_turtle
kangaroo,4,dog
kangaroo,1,volcano
kangaroo,3,tree
kangaroo,1,cup
kangaroo,0,palm_tree
kangaroo,2,bell
kangaroo,0,microscope
kangaroo,0,t_shirt
kangaroo,1,wheelchair
kangaroo,5,rabbit
kangaroo,0,radio
kangaroo,0,church
kangaroo,0,frying_pan
kangaroo,3,cat
kangaroo,0,sponge_bob
kangaroo,3,songbird
kangaroo,4,hedgehog
kangaroo,5,sheep
kangaroo,1,bench
kangaroo,5,turtle
kangaroo,2,apple
kangaroo,0,satellite
kangaroo,0, 
kangaroo,3,beetle
kangaroo,3,mouse
kangaroo,4,shark
kangaroo,3,swan
kangaroo,4,crab
kangaroo,0,ship
kangaroo,0,walkie_talkie
kangaroo,2,flower
kangaroo,3,banana
kangaroo,1,submarine
kangaroo,2,scissors
kangaroo,3,starfish
kangaroo,0,eyeglasses
kangaroo,2,knife
kangaroo,0,cell_phone
kangaroo,0,wine_bottle
kangaroo,0,jack_o_lantern
kangaroo,4,octopus
kangaroo,0,speed_boat
kangaroo,1,bulldozer
kangaroo,4,bear
kangaroo,3,lobster
kangaroo,2,basket
kangaroo,1,window
kangaroo,1,cabin
kangaroo,2,parachute
kangaroo,1,motorcycle
kangaroo,2,pistol
kangaroo,0,standing_bird
kangaroo,4,tiger
kangaroo,0,flying_bird
kangaroo,1,saw
kangaroo,4,penguin
kangaroo,5,monkey
kangaroo,1,castle
kangaroo,1,candle
kangaroo,1,blimp
kangaroo,4,seagull
kangaroo,0,race_car
kangaroo,3,snail
kangaroo,1,bus
kangaroo,1,suv
kangaroo,1,trombone
kangaroo,1,armor
kangaroo,5,elephant
kangaroo,1,ray
kangaroo,1,truck
kangaroo,1,trumpet
kangaroo,5,cow
kangaroo,2,shoe
kangaroo,1,key
kangaroo,1,train
kangaroo,2,teapot
kangaroo,5,raccoon
kangaroo,1,tractor
kangaroo,1,skyscraper
kangaroo,1,cannon
kangaroo,3,fish
kangaroo,2,rocket
kangaroo,5,frog
kangaroo,3,hat
kangaroo,0,computer_monitor
kangaroo,0,flying_saucer
kangaroo,0,ice_cream_cone
kangaroo,5,giraffe
kangaroo,2,pretzel
kangaroo,5,camel
kangaroo,0,violin
kangaroo,0,person_sitting
kangaroo,1,table
